Transaction Number ,Customer ID,Time stamp,Category,Amount Transacted,First,Last,Gender,Street,City,Credit Limit,No of Transactions,Amounts received per day ,Card Type ,Authentication 
19,4.96,1/1/2019 0:12,grocery_pos,965721,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,2,82475,Platinum ,Success
1009,4.96,1/1/2019 12:44,food_dining,413052,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,32555,Platinum ,Success
2426,4.96,2/1/2019 0:25,gas_transport,584822,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,10173,Platinum ,Success
2851,4.96,2/1/2019 12:01,misc_pos,980146,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,12342,Platinum ,Success
3958,4.96,3/1/2019 10:54,misc_net,1926072,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,3,17157,Platinum ,Failed
4223,4.96,3/1/2019 15:19,shopping_net,482394,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,10003,Platinum ,Success
4603,4.96,3/1/2019 21:32,food_dining,718346,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,2,14325,Platinum ,Success
5763,4.96,4/1/2019 17:57,health_fitness,491598,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,3,15098,Platinum ,Success
5792,4.96,4/1/2019 18:12,shopping_pos,848852,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,19224,Platinum ,Success
5819,4.96,4/1/2019 18:39,misc_pos,396139,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,2,67932,Platinum ,Success
7104,4.96,5/1/2019 16:38,shopping_net,856974,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,28006,Platinum ,Success
7919,4.96,6/1/2019 3:45,grocery_pos,855990,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,2,27803,Platinum ,Success
8312,4.96,6/1/2019 9:49,gas_transport,924776,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,2,19226,Platinum ,Success
8604,4.96,6/1/2019 13:27,home,204850,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,25435,Platinum ,Success
9054,4.96,6/1/2019 17:56,health_fitness,780669,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,3,30283,Platinum ,Success
9273,4.96,6/1/2019 20:07,shopping_net,887442,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,1000000,1,64711,Platinum ,Success
51250,6.59,30/01/2019 23:16,kids_pets,297820,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,2,42187,Platinum ,Success
51528,6.59,31/01/2019 05:41,grocery_net,687879,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,3,98637,Platinum ,Success
53779,6.59,1/2/2019 20:58,personal_care,738456,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,21304,Platinum ,Success
56675,6.59,3/2/2019 15:56,shopping_net,378535,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,73556,Platinum ,Success
59880,6.59,4/2/2019 23:48,shopping_pos,334116,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,2,36610,Platinum ,Success
61639,6.59,5/2/2019 19:02,home,772360,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,80962,Platinum ,Success
70418,6.59,11/2/2019 11:08,misc_net,580796,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,46701,Platinum ,Success
71568,6.59,11/2/2019 20:56,shopping_pos,855465,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,66856,Platinum ,Success
77745,6.59,15/02/2019 19:25,food_dining,978989,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,3,33911,Platinum ,Success
79300,6.59,16/02/2019 21:09,health_fitness,451874,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,62217,Platinum ,Success
79838,6.59,17/02/2019 05:09,grocery_net,670750,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,2,43442,Platinum ,Success
80317,6.59,17/02/2019 11:50,grocery_pos,977951,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,3,65584,Platinum ,Success
81191,6.59,17/02/2019 20:44,kids_pets,403466,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,98793,Platinum ,Success
82477,6.59,18/02/2019 12:02,personal_care,861177,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,70277,Platinum ,Success
83595,6.59,18/02/2019 21:20,home,528612,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,1,22539,Platinum ,Success
84070,6.59,19/02/2019 01:55,grocery_pos,339670,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,1000000,3,29657,Platinum ,Success
85218,6.59,20/02/2019 22:05,misc_net,326162,Amanda,Molina,F,,Philadelphia,1000000,1,0,Platinum ,Success
90210,6.59,20/02/2019 22:10,misc_net,390534,Amanda,Molina,F,,Philadelphia,1000000,2,0,Platinum ,Success
40230,6.59,20/02/2019 22:18,misc_net,204850,Amanda,Molina,F,,Philadelphia,1000000,3,0,Platinum ,Success
77770,6.59,20/02/2019 22:31,misc_net,331349,Amanda,Molina,F,,Philadelphia,1000000,4,0,Platinum ,Success
22045,6.59,20/02/2019 22:51,misc_net,515263,Amanda,Molina,F,,Philadelphia,,5,0,Platinum ,Success
19277,2.23,12/1/2019 18:03,home,563751,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,1,22770,Gold,Success
20013,2.23,13/01/2019 04:41,gas_transport,161930,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,2,86409,Gold,Success
21708,2.23,14/01/2019 00:05,grocery_net,352806,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,3,44060,Gold,Success
22174,2.23,14/01/2019 05:50,grocery_net,207755,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,1,95466,Gold,Success
22386,2.23,14/01/2019 08:35,misc_pos,489540,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,1,25557,Gold,Success
22846,2.23,14/01/2019 13:49,kids_pets,274395,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,1,33735,Gold,Success
23536,2.23,14/01/2019 19:17,entertainment,,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,1,66024,Gold,Success
23633,2.23,14/01/2019 20:05,home,105690,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,2,40135,Gold,Success
23667,2.23,14/01/2019 20:17,health_fitness,694888,Thomas,Hale,M,949 Smith Parkway,Cazenovia,700000,1,67884,Gold,Success
48001,3.73,29/01/2019 01:39,grocery_pos,211899,Bobby,Smith,M,3495 Williams Stream,San Diego,400000,1,47886,Signature,Success
